"function_name","category","version_marker","tier","tier_label","description"
"RECEIVED","Financial functions","","1","regular_pure_or_low_risk","Returns the amount received at maturity for a fully invested security"
"REGEXEXTRACT","Text functions","","2","baseline_context","Extracts strings within the provided text that matches the pattern"
"REGEXREPLACE","Text functions","","2","baseline_context","Replaces strings within the provided text that matches the pattern with replacement"
"REGEXTEST","Text functions","","2","baseline_context","Determines whether any part of text matches the pattern"
"REGISTER.ID","User defined functions that are installed with add-ins","","2","baseline_context","Returns the register ID of the specified dynamic link library (DLL) or code resource that has been previously registered"
"REPLACE, REPLACEB","Text functions","","2","baseline_context","Replaces characters within text"
"REPT","Text functions","","2","baseline_context","Repeats text a given number of times"
"RIGHT, RIGHTB","Text functions","","2","baseline_context","Returns the rightmost characters from a text value"
"ROMAN","Math and trigonometry functions","","1","regular_pure_or_low_risk","Converts an Arabic numeral to Roman, as text"
"ROUNDDOWN","Math and trigonometry functions","","1","regular_pure_or_low_risk","Rounds a number down, toward zero"
"ROUNDUP","Math and trigonometry functions","","1","regular_pure_or_low_risk","Rounds a number up, away from zero"
"RRI","Financial functions","","1","regular_pure_or_low_risk","Returns an equivalent interest rate for the growth of an investment"
"RSQ","Statistical functions","","1","regular_pure_or_low_risk","Returns the square of the Pearson product moment correlation coefficient"
"SEARCH, SEARCHB","Text functions","","2","baseline_context","Finds one text value within another (not case-sensitive)"
"SEC","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the secant of an angle"
"SECH","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the hyperbolic secant of an angle"
"SECOND","Date and time functions","","2","baseline_context","Converts a serial number to a second"
"SERIESSUM","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the sum of a power series based on the formula"
"SIGN","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the sign of a number"
"SINH","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the hyperbolic sine of a number"
"SKEW","Statistical functions","","1","regular_pure_or_low_risk","Returns the skewness of a distribution"
"SKEW.P","Statistical functions","","1","regular_pure_or_low_risk","Returns the skewness of a distribution based on a population: a characterization of the degree of asymmetry of a distribution around its mean"
